Tag version: 1.1.01

30 CHN 0 2811  2805688        469
31 CHN 0 2911  2905499        915
32 CHN 0 3011  3005310       1358
33 OFL *  1
34 CHN 0 3112  3106119       1801
35 CHN 0 3213  3206928       2244
36 CHN 0 3313  3306739       2688
37 CHN 0 3413  3406550       3131
38 CHN 0 3513  3506361       3575
39 CHN 0 3613  3606172       4019
40 CHN 0 3713  3705983       4461
41 CHN 0 3813  3805794       4906
42 CHN 0 3913  3905605       5348
43 CHN 0 4013  4005416       5792
44 OFL *  1
45 CHN 0 4113  4105227       6235
46 CHN 0 4214  4206037        434
47 CHN 0 4314  4305848        876
48 CHN 0 4414  4405659       1320
49 CHN 0 4514  4505470       1764
50 CHN 0 4615  4606279       2208
51 CHN 0 4715  4706090       2650
52 CHN 0 4815  4805901       3095
53 CHN 0 4915  4905712       3538
54 CHN 0 5015  5005523       3981
55 CHN 0 5116  5106332       4426
56 OFL *  1
57 CHN 0 5216  5206143       4868
58 CHN 0 5317  5306952       5311
59 CHN 0 5417  5406763       5755
60 CHN 0 5517  5506574       6196
61 CHN 0 5618  5607383        395
62 CHN 0 5718  5707194        840
63 CHN 0 5818  5807005       1284
64 CHN 0 5918  5906816       1727
65 CHN 0 6018  6006627       2169
66 CHN 0 6119  6107437       2613
67 OFL *  1
68 CHN 0 6219  6207248       3058
69 CHN 0 6320  6308057       3501
70 CHN 0 6420  6407868       3944
71 CHN 0 6521  6508677       4388
72 CHN 0 6621  6608488       4832
73 CHN 0 6722  6709297       5275
74 CHN 0 6822  6809108       5717
75 CHN 0 6922  6908919       6159
76 CHN 0 7023  7009728        359
77 CHN 0 7123  7109539        803
78 OFL *  1
79 CHN 0 7223  7209350       1247
80 CHN 0 7323  7309161       1690
81 CHN 0 7423  7408972       2135
82 CHN 0 7523  7508783       2578
83 CHN 0 7623  7608594       3020
84 CHN 0 7723  7708405       3465
85 CHN 0 7823  7808216       3907
86 CHN 0 7923  7908027       4353
87 CHN 0 8023  8007838       4793
88 CHN 0 8123  8107650       5238
89 OFL *  1
90 CHN 0 8223  8207461       5682
91 CHN 0 8323  8307272       6124
92 CHN 0 8424  8408081        323
93 CHN 0 8524  8507892        766
94 CHN 0 8624  8607703       1210
95 CHN 0 8724  8707514       1653
96 CHN 0 8824  8807325       2097
97 CHN 0 8924  8907136       2540
98 CHN 0 9024  9006947       2983
99 CHN 0 9124  9106758       3428
100 OFL *  1
101 CHN 0 9224  9206569       3872
102 CHN 0 9324  9306380       4314
103 CHN 0 9424  9406191       4758
104 CHN 0 9524  9506002       5202
105 CHN 0 9624  9605813       5644
106 CHN 0 9724  9705624       6087
107 CHN 0 9825  9806433        287
108 CHN 0 9926  9907242        729
109 CHN 0 10026 10007053       1173
110 CHN 0 10126 10106864       1616
111 CHN 0 10226 10206675       2061
112 OFL *  1
113 CHN 0 10326 10306486       2503
114 CHN 0 10426 10406297       2948
115 CHN 0 10526 10506108       3391
116 CHN 0 10626 10605919       3835
117 CHN 0 10726 10705730       4278
118 CHN 0 10826 10805542       4721
119 CHN 0 10926 10905353       5165
120 CHN 0 11026 11005164       5607
121 CHN 0 11126 11104975       6051
122 CHN 0 11227 11205784        249
123 OFL *  1
124 CHN 0 11327 11305595        693
125 CHN 0 11427 11405406       1136
126 CHN 0 11527 11505217       1580
127 CHN 0 11628 11606026       2023
128 CHN 0 11728 11705837       2466
129 CHN 0 11828 11805648       2911
130 CHN 0 11928 11905459       3353
131 CHN 0 12030 12007266       3797
132 CHN 0 12130 12107077       4240
133 CHN 0 12230 12206888       4682
134 OFL *  1
135 CHN 0 12331 12307697       5128
136 CHN 0 12431 12407508       5570
137 CHN 0 12531 12507319       6014
138 CHN 0 12632 12608129        213
139 CHN 0 12732 12707940        657
140 CHN 0 12832 12807751       1098
141 CHN 0 12932 12907562       1543
142 CHN 0 13032 13007373       1987
143 CHN 0 13133 13108182       2430
144 CHN 0 13233 13207993       2874
145 OFL *  1
146 CHN 0 13333 13307804       3318
147 CHN 0 13433 13407615       3761
148 CHN 0 13533 13507426       4205
149 CHN 0 13633 13607237       4648
150 CHN 0 13733 13707048       5091
151 CHN 0 13834 13807857       5534
152 CHN 0 13934 13907668       5977
153 CHN 0 14035 14008477        176
154 CHN 0 14135 14108288        620
155 CHN 0 14235 14208099       1063
156 CHN 0 14335 14307910       1506
157 OFL *  1
158 CHN 0 14435 14407721       1949
159 CHN 0 14535 14507532       2393
160 CHN 0 14635 14607343       2836
161 CHN 0 14736 14708153       3281
162 CHN 0 14836 14807964       3725
163 CHN 0 14936 14907775       4167
164 CHN 0 15036 15007586       4611
165 CHN 0 15136 15107397       5054
166 CHN 0 15236 15207208       5497
167 CHN 0 15336 15307019       5941
168 OFL *  1
169 CHN 0 15437 15407828        139
170 CHN 0 15537 15507639        583
171 CHN 0 15639 15609446       1026
172 CHN 0 15739 15709257       1470
173 CHN 0 15839 15809068       1913
174 CHN 0 15939 15908879       2357
175 CHN 0 16039 16008690       2801
176 CHN 0 16139 16108501       3244
177 CHN 0 16239 16208312       3688
178 CHN 0 16339 16308123       4129
179 OFL *  1
180 CHN 0 16439 16407934       4574
181 CHN 0 16539 16507745       5017
182 CHN 0 16639 16607556       5460
183 CHN 0 16739 16707367       5904
184 CHN 0 16840 16808177        103
185 CHN 0 16940 16907988        546
186 CHN 0 17040 17007799        989
187 CHN 0 17140 17107610       1433
188 CHN 0 17240 17207421       1877
189 CHN 0 17340 17307232       2320
190 OFL *  1
191 CHN 0 17440 17407043       2763
192 CHN 0 17540 17506854       3208
193 CHN 0 17640 17606665       3650
194 CHN 0 17740 17706476       4094
195 CHN 0 17840 17806287       4537
196 CHN 0 17940 17906098       4980
197 CHN 0 18040 18005909       5424
198 CHN 0 18140 18105720       5868
199 CHN 0 18241 18206529         65
200 CHN 0 18341 18306340        510
201 OFL *  1
202 CHN 0 18441 18406151        954
203 CHN 0 18541 18505962       1395
204 CHN 0 18641 18605773       1839
205 CHN 0 18741 18705584       2283
206 CHN 0 18841 18805395       2726
207 CHN 0 18941 18905206       3171
208 CHN 0 19042 19006015       3613
209 CHN 0 19142 19105826       4057
210 CHN 0 19242 19205637       4500
211 CHN 0 19342 19305448       4943
212 CHN 0 19442 19405259       5386
213 OFL *  1
214 CHN 0 19542 19505070       5831
215 CHN 0 19643 19605880         29
216 CHN 0 19743 19705691        473
217 CHN 0 19843 19805502        916
218 CHN 0 19943 19905313       1360
219 CHN 0 20043 20005124       1803
220 CHN 0 20143 20104935       2247
221 CHN 0 20243 20204746       2690
222 CHN 0 20343 20304557       3134
223 CHN 0 20443 20404368       3576
224 OFL *  1
225 CHN 0 20543 20504179       4020
226 CHN 0 20643 20603990       4464
227 CHN 0 20743 20703801       4907
228 CHN 0 20843 20803612       5350
229 CHN 0 20943 20903423       5793
230 CHN 0 21043 21003234       6239
231 CHN 0 21144 21104043        437
232 CHN 0 21244 21203854        878
233 CHN 0 21344 21303665       1323
234 CHN 0 21444 21403476       1767
235 OFL *  1
236 CHN 0 21544 21503287       2211
237 CHN 0 21644 21603098       2653
238 CHN 0 21744 21702909       3094
239 CHN 0 21845 21803718       3541
240 CHN 0 21945 21903529       3984
241 CHN 0 22045 22003340       4426
242 CHN 0 22145 22103151       4872
243 CHN 0 22245 22202962       5315
244 CHN 0 22346 22303772       5757
245 CHN 0 22446 22403583       6201
246 OFL *  1
247 CHN 0 22547 22504392        400
248 CHN 0 22647 22604203        843
249 CHN 0 22747 22704014       1286
250 CHN 0 22847 22803825       1730
251 CHN 0 22947 22903636       2173
252 CHN 0 23047 23003447       2617
253 CHN 0 23147 23103258       3060
254 CHN 0 23247 23203069       3503
255 CHN 0 23347 23302880       3945
256 CHN 0 23447 23402691       4391
257 CHN 0 23547 23502502       4832
258 OFL *  1
259 CHN 0 23647 23602313       5277
260 CHN 0 23748 23703122       5721
261 CHN 0 23848 23802933       6164
262 CHN 0 23949 23903742        362
263 CHN 0 24049 24003553        805
264 CHN 0 24149 24103364       1249
265 CHN 0 24249 24203175       1693
266 CHN 0 24349 24302986       2137
267 CHN 0 24449 24402797       2579
268 CHN 0 24549 24502608       3023
269 OFL *  1
270 CHN 0 24649 24602419       3467
271 CHN 0 24749 24702230       3909
272 CHN 0 24849 24802041       4354
273 CHN 0 24950 24902851       4797
274 CHN 0 25050 25002662       5242
275 CHN 0 25150 25102473       5683
276 CHN 0 25250 25202284       6127
277 CHN 0 25351 25303093        324
278 CHN 0 25451 25402904        769
279 CHN 0 25552 25503713       1213
280 OFL *  1
281 CHN 0 25652 25603524       1654
282 CHN 0 25752 25703335       2099
283 CHN 0 25852 25803146       2543
284 CHN 0 25952 25902957       2986
285 CHN 0 26052 26002768       3430
286 CHN 0 26152 26102579       3874
287 CHN 0 26252 26202390       4317
288 CHN 0 26352 26302201       4760
289 CHN 0 26452 26402012       5204
290 CHN 0 26552 26501823       5646
291 OFL *  1
292 CHN 0 26652 26601634       6091
293 CHN 0 26754 26703441        289
294 CHN 0 26854 26803253        731
295 CHN 0 26954 26903064       1174
296 CHN 0 27054 27002875       1620
297 CHN 0 27154 27102686       2062
298 CHN 0 27254 27202497       2505
299 CHN 0 27354 27302308       2949
300 CHN 0 27454 27402119       3394
301 CHN 0 27554 27501930       3837
302 OFL *  1
303 CHN 0 27654 27601741       4280
304 CHN 0 27754 27701552       4723
305 CHN 0 27854 27801363       5168
306 CHN 0 27954 27901174       5610
307 CHN 0 28054 28000985       6053
308 CHN 0 28155 28101794        252
309 CHN 0 28255 28201605        696
310 CHN 0 28355 28301416       1139
311 CHN 0 28455 28401227       1583
312 CHN 0 28555 28501038       2026
313 CHN 0 28655 28600849       2470
314 OFL *  1
315 CHN 0 28755 28700660       2913
316 CHN 0 28855 28800471       3355
317 CHN 0 28955 28900282       3799
318 CHN 0 29055 29000093       4244
319 CHN 0 29155 29099904       4686
320 CHN 0 29255 29199715       5131
321 CHN 0 29355 29299526       5573
322 CHN 0 29455 29399337       6017
323 CHN 0 29557 29501144        215
324 CHN 0 29657 29600956        658
325 OFL *  1
326 CHN 0 29757 29700767       1103
327 CHN 0 29857 29800578       1545
328 CHN 0 29957 29900389       1989
329 CHN 0 30057 30000200       2433
330 CHN 0 30157 30100011       2875
331 CHN 0 30258 30200820       3320
332 CHN 0 30358 30300631       3763
333 CHN 0 30459 30401440       4206
334 CHN 0 30559 30501251       4649
335 CHN 0 30659 30601062       5092
336 OFL *  1
337 CHN 0 30759 30700873       5536
338 CHN 0 30859 30800684       5979
339 CHN 0 30960 30901493        179
340 CHN 0 31060 31001304        622
341 CHN 0 31161 31102113       1066
342 CHN 0 31261 31201924       1508
343 CHN 0 31361 31301735       1953
344 CHN 0 31462 31402545       2395
345 CHN 0 31562 31502356       2840
346 CHN 0 31662 31602167       3282
347 OFL *  1
348 CHN 0 31763 31702976       3726
349 CHN 0 31864 31803785       4170
350 CHN 0 31964 31903596       4613
351 CHN 0 32064 32003407       5056
352 CHN 0 32165 32104216       5499
353 CHN 0 32265 32204027       5943
354 CHN 0 32366 32304836        143
355 CHN 0 32466 32404647        584
356 CHN 0 32567 32505456       1029
357 CHN 0 32667 32605267       1472
358 CHN 0 32767 32705078       1915
359 OFL *  1
360 CHN 0 32867 32804889       2358
361 CHN 0 32967 32904700       2802
362 CHN 0 33067 33004511       3246
363 CHN 0 33167 33104322       3689
364 CHN 0 33267 33204134       4132
365 CHN 0 33367 33303945       4576
366 CHN 0 33467 33403756       5020
367 CHN 0 33567 33503567       5462
